id	node1	label	node2
Q45-P373-1	Q45	P373	"Portugal"
Q45-P474-1	Q45	P474	"+351"
Q45-P898-1	Q45	P898	"puʈʉˈgɑːl"
Q45-P898-2	Q45	P898	"pərtʊˈɡalʲɪjə"
Q45-P898-3	Q45	P898	"puɾtuˈɣaɫ"
Q45-P935-1	Q45	P935	"Portugal"
Q45-P2258-1	Q45	P2258	"268"
Q45-P3238-1	Q45	P3238	novalue
Q45-P395-1	Q45	P395	"P"
Q45-P2979-1	Q45	P2979	"263"
Q45-P487-1	Q45	P487	"🇵🇹"
Q45-P3067-1	Q45	P3067	"560"
Q140-P225-1	Q140	P225	"Panthera leo"
Q140-P373-1	Q140	P373	"Panthera leo"
Q140-P487-1	Q140	P487	"🦁"
Q140-P935-1	Q140	P935	"Panthera leo"
Q140-P627-1	Q140	P627	"15951"
Q183-P395-1	Q183	P395	"D"
Q183-P2572-1	Q183	P2572	"Deutschland"
